Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data Driven,Chrome 126.0.0.0,,,10-07-2024 05:03:19,10-07-2024 05:03:57,37.960s,PASSED
,,,,,,,
Test Cases/Data Driven/Login_DataDriven,Chrome 126.0.0.0,,,10-07-2024 05:03:20,10-07-2024 05:03:27,7.797s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,10-07-2024 05:03:20,10-07-2024 05:03:22,2.131s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,10-07-2024 05:03:22,10-07-2024 05:03:23,1.127s,PASSED
"verifyElementPresent(findTestObject(""Logo""), 0)",Chrome 126.0.0.0,,,10-07-2024 05:03:23,10-07-2024 05:03:24,0.725s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 126.0.0.0,,,10-07-2024 05:03:24,10-07-2024 05:03:25,0.750s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 126.0.0.0,,,10-07-2024 05:03:25,10-07-2024 05:03:25,0.707s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,10-07-2024 05:03:25,10-07-2024 05:03:26,0.396s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/div_Swag Labs""))",Chrome 126.0.0.0,,,10-07-2024 05:03:26,10-07-2024 05:03:26,0.585s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/div_Swag Labs""), ""Swag Labs"")",Chrome 126.0.0.0,,,10-07-2024 05:03:26,10-07-2024 05:03:27,0.351s,PASSED
"click(findTestObject(""HomePage/MenuButton""))",Chrome 126.0.0.0,,,10-07-2024 05:03:27,10-07-2024 05:03:27,0.356s,PASSED
"click(findTestObject(""HomePage/Logout""))",Chrome 126.0.0.0,,,10-07-2024 05:03:27,10-07-2024 05:03:27,0.344s,PASSED
,,,,,,,
Test Cases/Data Driven/Login_DataDriven,Chrome 126.0.0.0,,,10-07-2024 05:03:27,10-07-2024 05:03:33,5.815s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,10-07-2024 05:03:27,10-07-2024 05:03:28,0.980s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 126.0.0.0,,,10-07-2024 05:03:28,10-07-2024 05:03:29,0.809s,PASSED
"verifyElementPresent(findTestObject(""Logo""), 0)",Chrome 126.0.0.0,,,10-07-2024 05:03:29,10-07-2024 05:03:30,0.737s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 126.0.0.0,,,10-07-2024 05:03:30,10-07-2024 05:03:31,0.727s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 126.0.0.0,,,10-07-2024 05:03:31,10-07-2024 05:03:31,0.714s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,10-07-2024 05:03:31,10-07-2024 05:03:32,0.424s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/div_Swag Labs""))",Chrome 126.0.0.0,,,10-07-2024 05:03:32,10-07-2024 05:03:32,0.475s,PASSED
